ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 13:57
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 14:04
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 14:39
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 14:40
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 14:40
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 14:44
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 14:44
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 14:44
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 14:45
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 14:45
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 14:45
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 14:46
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 14:54
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 14:54
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 15:02
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 15:07
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 15:07
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 15:07
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 15:11
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 15:13
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 15:17
ESTUDIANTE: JuanPerez | NOTA: 95 | FECHA:  2026-04-18 15:20
